Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
Morgan Boulevard Metro Station,Naylor Road Metro Station,4.55,3.7,2.25,2.25
Morgan Boulevard Metro Station,Suitland Metro Station,4.65,3.8,2.3,2.3
Morgan Boulevard Metro Station,Branch Ave Metro Station,4.95,3.85,2.45,2.45
Morgan Boulevard Metro Station,Braddock Road Metro Station,5.55,3.85,2.75,2.75
Morgan Boulevard Metro Station,King Street Metro Station,5.7,3.85,2.85,2.85
Morgan Boulevard Metro Station,Eisenhower Avenue Metro Station,5.9,3.85,2.95,2.95
Morgan Boulevard Metro Station,Huntington Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Anacostia Metro Station,4.25,3.4,2.1,2.1
Morgan Boulevard Metro Station,Eastern Market Metro Station,3.65,3.05,1.8,1.8
Morgan Boulevard Metro Station,Potomac Ave Metro Station,3.45,2.6,1.7,1.7
Morgan Boulevard Metro Station,Stadium-armory Metro Station,3.3,2.6,1.65,1.65
Morgan Boulevard Metro Station,Rhode Island Ave Metro Station,4.4,3.6,2.2,2.2
Morgan Boulevard Metro Station,Minnesota Ave Metro Station,3.35,2.6,1.65,1.65
Morgan Boulevard Metro Station,Van Ness-udc Metro Station,5.15,3.85,2.55,2.55
Morgan Boulevard Metro Station,Cleveland Park Metro Station,5,3.85,2.5,2.5
Morgan Boulevard Metro Station,Columbia Heights Metro Station,4.65,3.8,2.3,2.3
Morgan Boulevard Metro Station,Spring Hill Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Greensboro Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Mclean Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Georgia Ave-petworth Metro Station,College Park-u Of Md Metro Station,3.3,2.6,1.65,1.65
Georgia Ave-petworth Metro Station,Capitol Heights Metro Station,4.05,3.35,2,2
Georgia Ave-petworth Metro Station,Morgan Boulevard Metro Station,4.75,3.85,2.35,2.35
Georgia Ave-petworth Metro Station,Georgia Ave-petworth Metro Station,0,0,0,0
Georgia Ave-petworth Metro Station,Takoma Metro Station,2.3,2,1.15,1.15
Georgia Ave-petworth Metro Station,Glenmont Metro Station,4.2,3.4,2.1,2.1
Georgia Ave-petworth Metro Station,Wheaton Metro Station,3.7,3.1,1.85,1.85
Georgia Ave-petworth Metro Station,Forest Glen Metro Station,3.25,2.6,1.6,1.6
Georgia Ave-petworth Metro Station,Silver Spring Metro Station,2.7,2.35,1.35,1.35
Georgia Ave-petworth Metro Station,Brookland-cua Metro Station,2.25,2,1.1,1.1
Georgia Ave-petworth Metro Station,Fort Totten Metro Station,2.25,2,1.1,1.1
Georgia Ave-petworth Metro Station,Prince George's Plaza Metro Station,2.75,2.35,1.35,1.35
Georgia Ave-petworth Metro Station,West Hyattsville Metro Station,2.35,2.1,1.15,1.15
Georgia Ave-petworth Metro Station,Benning Road Metro Station,3.65,3.05,1.8,1.8
Georgia Ave-petworth Metro Station,Addison Road-seat Pleasant Metro Station,4.35,3.4,2.15,2.15
Georgia Ave-petworth Metro Station,Deanwood Metro Station,3.7,3.05,1.85,1.85
Georgia Ave-petworth Metro Station,New Carrollton Metro Station,4.75,3.85,2.35,2.35
Georgia Ave-petworth Metro Station,Landover Metro Station,4.4,3.6,2.2,2.2
Georgia Ave-petworth Metro Station,Cheverly Metro Station,3.95,3.3,1.95,1.95
Georgia Ave-petworth Metro Station,Largo Town Center Metro Station,5.1,3.85,2.55,2.55
Georgia Ave-petworth Metro Station,Noma Metro,2.45,2.15,1.2,1.2
Georgia Ave-petworth Metro Station,Rosslyn Metro Station,2.9,2.5,1.45,1.45
Georgia Ave-petworth Metro Station,Arlington Cemetery Metro Station,3.15,2.6,1.55,1.55
Georgia Ave-petworth Metro Station,Dupont Circle Metro Station,2.45,2.15,1.2,1.2
Georgia Ave-petworth Metro Station,Pentagon Metro Station,3.15,2.6,1.55,1.55
Georgia Ave-petworth Metro Station,Crystal City Metro Station,3.45,2.6,1.7,1.7
Georgia Ave-petworth Metro Station,Navy Yard Metro Station,2.9,2.5,1.45,1.45
Georgia Ave-petworth Metro Station,Mcpherson Square Metro Station,2.35,2.05,1.15,1.15
Georgia Ave-petworth Metro Station,Shaw-howard U Metro,2.25,2,1.1,1.1
Georgia Ave-petworth Metro Station,Southern Ave Metro Station,3.85,3.2,1.9,1.9
Georgia Ave-petworth Metro Station,Greenbelt Metro Station,3.95,3.3,1.95,1.95
Georgia Ave-petworth Metro Station,Tenleytown-au Metro Station,3.15,2.6,1.55,1.55
Georgia Ave-petworth Metro Station,West Falls Church Metro Station,4.8,3.85,2.4,2.4
Georgia Ave-petworth Metro Station,Dunn Loring-merrifield Metro Station,5.45,3.85,2.7,2.7
Georgia Ave-petworth Metro Station,Vienna Metro Station,6,3.85,3,3
Georgia Ave-petworth Metro Station,Friendship Heights Metro Station,3.35,2.6,1.65,1.65
Georgia Ave-petworth Metro Station,Shady Grove Metro Station,6,3.85,3,3
Georgia Ave-petworth Metro Station,Rockville Metro Station,5.95,3.85,2.95,2.95
Georgia Ave-petworth Metro Station,Twinbrook Metro Station,5.4,3.85,2.7,2.7
Georgia Ave-petworth Metro Station,White Flint Metro Station,5.05,3.85,2.5,2.5
Georgia Ave-petworth Metro Station,Grosvenor-strathmore Metro Station,4.65,3.8,2.3,2.3
Georgia Ave-petworth Metro Station,Medical Center Metro Station,4.05,3.35,2,2
Georgia Ave-petworth Metro Station,Bethesda Metro Station,3.8,3.15,1.9,1.9
Georgia Ave-petworth Metro Station,Foggy Bottom-gwu Metro Station,2.55,2.25,1.25,1.25
Georgia Ave-petworth Metro Station,Court House Metro Station,3.25,2.6,1.6,1.6
Georgia Ave-petworth Metro Station,Clarendon Metro Station,3.4,2.6,1.7,1.7
Georgia Ave-petworth Metro Station,East Falls Church Metro Station,4.3,3.4,2.15,2.15
Georgia Ave-petworth Metro Station,Virginia Square-gmu Metro Station,3.5,2.95,1.75,1.75
Georgia Ave-petworth Metro Station,Ballston-mu Metro Station,3.65,3.05,1.8,1.8
Georgia Ave-petworth Metro Station,Farragut West Metro Station,2.4,2.1,1.2,1.2
Georgia Ave-petworth Metro Station,Farragut North Metro Station,2.4,2.1,1.2,1.2
Georgia Ave-petworth Metro Station,Woodley Park-zoo Metro,2.55,2.25,1.25,1.25
Georgia Ave-petworth Metro Station,L'enfant Plaza Metro Station,2.55,2.2,1.25,1.25
Georgia Ave-petworth Metro Station,Smithsonian Metro Station,2.5,2.2,1.25,1.25
Georgia Ave-petworth Metro Station,Pentagon City Metro Station,3.35,2.6,1.65,1.65
Georgia Ave-petworth Metro Station,Federal Triangle Metro Station,2.4,2.1,1.2,1.2
